,Unnamed: 0,pilot_code,user_in_role_id,detection_variable_type,detection_variable_name,zero_time,interval_start,interval_end,step,measure_value,Normalised,hidden_states
1548,1870,BHX,66,MEA,walk_distance,1/2/2017 1:00,5/12/2017 1:00,5/13/2017 1:00,131,3590.0,0.270657419,0
1549,1871,BHX,66,MEA,walk_distance,1/2/2017 1:00,5/13/2017 1:00,5/14/2017 1:00,132,3174.0,0.23929433100000003,0
1550,1872,BHX,66,MEA,walk_distance,1/2/2017 1:00,5/14/2017 1:00,5/15/2017 1:00,133,7953.0,0.599592883,1
1551,1873,BHX,66,MEA,walk_distance,1/2/2017 1:00,5/15/2017 1:00,5/16/2017 1:00,134,1400.0,0.105548854,0
1552,1874,BHX,66,MEA,walk_distance,1/2/2017 1:00,5/16/2017 1:00,5/17/2017 1:00,135,1521.0,0.114671291,0
1553,1875,BHX,66,MEA,walk_distance,1/2/2017 1:00,5/17/2017 1:00,5/18/2017 1:00,136,4511.0,0.340093486,0
1554,1876,BHX,66,MEA,walk_distance,1/2/2017 1:00,5/18/2017 1:00,5/19/2017 1:00,137,6902.0,0.52035585,1
1555,1877,BHX,66,MEA,walk_distance,1/2/2017 1:00,5/19/2017 1:00,5/20/2017 1:00,138,7096.0,0.5349819060000001,1
1556,1878,BHX,66,MEA,walk_distance,1/2/2017 1:00,5/20/2017 1:00,5/21/2017 1:00,139,1125.0,0.08481604300000001,0
1557,1879,BHX,66,MEA,walk_distance,1/2/2017 1:00,5/21/2017 1:00,5/22/2017 1:00,140,1248.0,0.094089264,0
1558,1880,BHX,66,MEA,walk_distance,1/2/2017 1:00,5/22/2017 1:00,5/23/2017 1:00,141,781.0,0.058881182000000004,0
1559,1881,BHX,66,MEA,walk_distance,1/2/2017 1:00,5/23/2017 1:00,5/24/2017 1:00,142,2841.0,0.214188782,0
1560,1882,BHX,66,MEA,walk_distance,1/2/2017 1:00,5/24/2017 1:00,5/25/2017 1:00,143,6613.0,0.498567551,1
1561,1883,BHX,66,MEA,walk_distance,1/2/2017 1:00,5/25/2017 1:00,5/26/2017 1:00,144,3373.0,0.25429734600000004,0
1562,1884,BHX,66,MEA,walk_distance,1/2/2017 1:00,5/26/2017 1:00,5/27/2017 1:00,145,4793.0,0.361354041,0
1563,1885,BHX,66,MEA,walk_distance,1/2/2017 1:00,5/27/2017 1:00,5/28/2017 1:00,146,4363.0,0.328935464,0
1564,1886,BHX,66,MEA,walk_distance,1/2/2017 1:00,5/28/2017 1:00,5/29/2017 1:00,147,2098.0,0.158172497,0
1565,1887,BHX,66,MEA,walk_distance,1/2/2017 1:00,5/29/2017 1:00,5/30/2017 1:00,148,4181.0,0.315214113,0
1566,1888,BHX,66,MEA,walk_distance,1/2/2017 1:00,5/30/2017 1:00,5/31/2017 1:00,149,4757.0,0.358639928,0
1567,1889,BHX,66,MEA,walk_distance,1/2/2017 1:00,5/31/2017 1:00,6/1/2017 1:00,150,2806.0,0.21155006,0
1568,1890,BHX,66,MEA,walk_distance,1/2/2017 1:00,6/1/2017 1:00,6/2/2017 1:00,151,7548.0,0.5690591070000001,1
1569,1891,BHX,66,MEA,walk_distance,1/2/2017 1:00,6/2/2017 1:00,6/3/2017 1:00,152,4576.0,0.344993969,0
1570,1892,BHX,66,MEA,walk_distance,1/2/2017 1:00,6/3/2017 1:00,6/4/2017 1:00,153,4439.0,0.334665259,0
1571,1893,BHX,66,MEA,walk_distance,1/2/2017 1:00,6/4/2017 1:00,6/5/2017 1:00,154,3112.0,0.23462002399999998,0
1572,1894,BHX,66,MEA,walk_distance,1/2/2017 1:00,6/5/2017 1:00,6/6/2017 1:00,155,3492.0,0.263268999,0
1573,1895,BHX,66,MEA,walk_distance,1/2/2017 1:00,6/6/2017 1:00,6/7/2017 1:00,156,4043.0,0.304810012,0
1574,1896,BHX,66,MEA,walk_distance,1/2/2017 1:00,6/7/2017 1:00,6/8/2017 1:00,157,6252.0,0.471351025,1
1575,1897,BHX,66,MEA,walk_distance,1/2/2017 1:00,6/8/2017 1:00,6/9/2017 1:00,158,3523.0,0.265606152,0
1576,1898,BHX,66,MEA,walk_distance,1/2/2017 1:00,6/9/2017 1:00,6/10/2017 1:00,159,4099.0,0.309031966,0
1577,1899,BHX,66,MEA,walk_distance,1/2/2017 1:00,6/10/2017 1:00,6/11/2017 1:00,160,2943.0,0.22187877,0
1578,1900,BHX,66,MEA,walk_distance,1/2/2017 1:00,6/11/2017 1:00,6/12/2017 1:00,161,9808.0,0.739445115,1
1579,1901,BHX,66,MEA,walk_distance,1/2/2017 1:00,6/12/2017 1:00,6/13/2017 1:00,162,7861.0,0.592656815,1
1580,1902,BHX,66,MEA,walk_distance,1/2/2017 1:00,6/13/2017 1:00,6/14/2017 1:00,163,3722.0,0.280609168,0
1581,1903,BHX,66,MEA,walk_distance,1/2/2017 1:00,6/14/2017 1:00,6/15/2017 1:00,164,5614.0,0.423250905,0
1582,1904,BHX,66,MEA,walk_distance,1/2/2017 1:00,6/15/2017 1:00,6/16/2017 1:00,165,5029.0,0.379146562,0
1583,1905,BHX,66,MEA,walk_distance,1/2/2017 1:00,6/16/2017 1:00,6/17/2017 1:00,166,3912.0,0.294933655,0
1584,1906,BHX,66,MEA,walk_distance,1/2/2017 1:00,6/17/2017 1:00,6/18/2017 1:00,167,1679.0,0.12658323300000002,0
1585,1907,BHX,66,MEA,walk_distance,1/2/2017 1:00,6/18/2017 1:00,6/19/2017 1:00,168,4758.0,0.35871532,0
1586,1908,BHX,66,MEA,walk_distance,1/2/2017 1:00,6/19/2017 1:00,6/20/2017 1:00,169,3379.0,0.254749698,0
1587,1909,BHX,66,MEA,walk_distance,1/2/2017 1:00,6/20/2017 1:00,6/21/2017 1:00,170,2645.0,0.19941194199999998,0
1588,1910,BHX,66,MEA,walk_distance,1/2/2017 1:00,6/21/2017 1:00,6/22/2017 1:00,171,3478.0,0.26221351,0
1589,1911,BHX,66,MEA,walk_distance,1/2/2017 1:00,6/22/2017 1:00,6/23/2017 1:00,172,5908.0,0.445416164,0
1590,1912,BHX,66,MEA,walk_distance,1/2/2017 1:00,6/23/2017 1:00,6/24/2017 1:00,173,5500.0,0.414656212,0
1591,1913,BHX,66,MEA,walk_distance,1/2/2017 1:00,6/24/2017 1:00,6/25/2017 1:00,174,3552.0,0.267792521,0
1592,1914,BHX,66,MEA,walk_distance,1/2/2017 1:00,6/25/2017 1:00,6/26/2017 1:00,175,3711.0,0.279779855,0
1593,1915,BHX,66,MEA,walk_distance,1/2/2017 1:00,6/26/2017 1:00,6/27/2017 1:00,176,7676.0,0.578709288,1
1594,1916,BHX,66,MEA,walk_distance,1/2/2017 1:00,6/27/2017 1:00,6/28/2017 1:00,177,1479.0,0.111504825,0
